x,y,ultra_blue,blue,green,red,nir,swir1,swir2,d-ndvi
568569.1,2329749,0.038012500000000005,0.04032250000000001,0.07087500000000002,0.05363249999999997,0.32877000000000006,0.17809750000000002,0.0902075,0.04307126998901367
587940.6,2335759,0.050360000000000016,0.057894999999999974,0.09466249999999998,0.08789750000000002,0.3036075,0.2323,0.13599499999999998,-0.045541226863861084
588680.1,2328272,0.04556125,0.0477475,0.08313999999999999,0.07251125,0.29966125,0.17255625000000002,0.09510249999999998,-0.006657063961029053
559535.3,2325769,0.03348875,0.039470000000000005,0.07764000000000001,0.061002500000000015,0.35717750000000004,0.2122525,0.11176749999999999,0.013934016227722168
601485,2324264,0.05261500000000002,0.05926999999999999,0.08872249999999998,0.08173750000000002,0.33154750000000005,0.19402000000000003,0.12188749999999998,-0.004991769790649414
559907.3,2330259,0.04223375,0.05343999999999999,0.08623375,0.08895625000000001,0.27642374999999997,0.22299125,0.13136124999999998,0.06577897071838379
591389.4,2314218,0.055035,0.06229499999999999,0.09458,0.08732000000000001,0.29464250000000003,0.1949825,0.11484749999999999,-0.02835768461227417
574688.6,2339008,0.04415875,0.04981000000000001,0.08513375000000001,0.0811325,0.27161125,0.17746499999999998,0.106185,0.046174705028533936
590148.3,2335055,0.045520000000000005,0.05135000000000001,0.0830575,0.07392749999999998,0.266895,0.1828825,0.10558000000000001,0.03740602731704712
566514.3,2334239,0.04078999999999999,0.05124000000000001,0.09474500000000002,0.10148249999999998,0.2818,0.2213,0.14273249999999998,0.05074632167816162
559452.4,2324532,0.04189,0.04960375,0.0874025,0.0747525,0.31884250000000003,0.22681375,0.1343725,0.022945880889892578
534675.4,2340763,0.03394249999999999,0.0442275,0.07480749999999997,0.059242499999999976,0.31359,0.19044499999999998,0.10852250000000002,-0.0010814666748046875
570246.4,2347536,nan,nan,nan,nan,nan,nan,nan,nan
589155.3,2354441,0.03579874999999999,0.04686749999999999,0.08076125,0.07717249999999998,0.2767675,0.15585000000000002,0.07873999999999998,0.008320808410644531
555931.8,2315698,0.03700875000000001,0.04248125,0.07861625,0.06360125,0.3216475,0.1974025,0.1124,0.04528951644897461
587365.3,2342357,0.0354275,0.043045,0.08205375000000001,0.06318875000000002,0.290105,0.19664625,0.09980499999999998,-0.06468158960342407
548061.4,2343174,0.05942125000000001,0.06827625000000001,0.12164,0.13490875,0.24592624999999999,0.23759375000000002,0.17625500000000002,0.07154768705368042
598866.6,2285407,0.05363249999999997,0.05630000000000002,0.08542250000000001,0.07632,0.30578,0.19448749999999998,0.11355500000000002,-0.04479759931564331
565119.1,2315096,0.04008874999999999,0.04773374999999999,0.08257624999999999,0.08164125,0.2531175,0.16414125,0.09096375000000001,-0.05152440071105957
576775.6,2304865,0.03385999999999999,0.03647249999999999,0.062006249999999985,0.04644124999999999,0.30499625,0.15957625,0.07355624999999999,0.052986741065979004
578471,2340622,0.05583250000000001,0.06553999999999999,0.1047825,0.097275,0.263045,0.18907000000000002,0.11664875,0.052980005741119385
576023.4,2300823,0.0457675,0.048998749999999994,0.08155875000000001,0.06636500000000001,0.31079875,0.17778125,0.09342499999999998,0.0034889578819274902
582000.9,2302364,0.04997499999999999,0.05976500000000001,0.090675,0.07667750000000001,0.299895,0.1699025,0.07973000000000002,0.022608697414398193
584604.3,2292198,0.0431275,0.04558875,0.06637874999999999,0.05614875,0.26068,0.1587375,0.08454249999999999,-0.06280946731567383
569301.9,2330702,0.034231250000000005,0.043361250000000004,0.07880875000000001,0.06867499999999999,0.30567,0.18291,0.09801750000000001,-0.029241979122161865
561678.4,2304488,0.0387825,0.0472525,0.08110499999999998,0.06738250000000001,0.3309975,0.2058175,0.12312499999999998,-0.0047209858894348145
571249.4,2318476,0.040047499999999986,0.04290749999999999,0.07123249999999998,0.05473250000000002,0.29489,0.17983,0.09061999999999998,0.002120673656463623
555311.3,2320870,0.030463749999999998,0.04050124999999999,0.08021124999999998,0.06779500000000002,0.36431375,0.20800375000000002,0.10908625,0.016682744026184082
