X,Y,label
546393.6,2341334,forest
539992.1,2327396,forest
532575.8,2330861,forest
539089.4,2325821,forest
581573.7,2345272,forest
587604.9,2346821,forest
581855.8,2356737,forest
547197.3,2318142,forest
533861.2,2330785,forest
559436.2,2302210,forest
549741.3,2328034,forest
539352.4,2341820,forest
549576.6,2335778,forest
570727.4,2285296,forest
538066.1,2328396,forest
541453.1,2323960,forest
540898.7,2322706,forest
551233.4,2320025,forest
566996.9,2321930,forest
579967.1,2346005,forest
546786.1,2324547,forest
582988.2,2338317,forest
535669.4,2327379,forest
550367.9,2323241,forest
583543.6,2337164,forest
590539.1,2336612,forest
533920.4,2325820,forest
580796.1,2353848,forest
547017.9,2327790,forest
588508.8,2325269,forest
533815.6,2326761,forest
581363.1,2356065,forest
549135.4,2317740,forest
538465.7,2325053,forest
573805.9,2281601,forest
551251.9,2323667,forest
580772.7,2274210,forest
533174.8,2326195,forest
583814.4,2353714,forest
570709.1,2340894,forest
591218.4,2354260,forest
557867.9,2316478,forest
590206.4,2349024,forest
548271.7,2316807,forest
538546.6,2325781,forest
536112.2,2332022,forest
533919.3,2333301,forest
538639.4,2329861,forest
569598.4,2280131,forest
579882.6,2357742,forest
537519.4,2336763,forest
575423.1,2280237,forest
571243.9,2288493,forest
546465.2,2324159,forest
553288.9,2317018,forest
575917.9,2278476,forest
538986.4,2332447,forest
584396.1,2356277,forest
538660.8,2328693,forest
546346.6,2319856,forest
542416.9,2331410,forest
539007,2338101,forest
568856.1,2294977,forest
532993.3,2327234,forest
578565.3,2278822,forest
539179.2,2331785,forest
536383.1,2340148,forest
553811.6,2318932,forest
580644.2,2359724,forest
536706.1,2328164,forest
535230.9,2325121,forest
575635.4,2349592,forest
535673.4,2335254,forest
553167.3,2317138,forest
552401.1,2318658,forest
539452.7,2338340,forest
540919.8,2325427,forest
540945.6,2329240,forest
545370.9,2325143,forest
541051.1,2326564,forest
542813.3,2332575,forest
582051.4,2274405,forest
534847.5,2331010,forest
